dataset,dataset_label,panel,included_in_main_figure,series,arm,tau,median_soh,q25_soh,q75_soh,n_unique_test_cells,n_seeds,n_trajectories,aggregation_unit,interpolation,source_split
mit,MIT,a,True,A0,A0,0.06060606,0.992752152227,0.991912279646,0.995629451193,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.07070707,0.992114653681,0.991148064847,0.995454966746,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.08080808,0.991378110975,0.990186458679,0.995269796446,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.09090909,0.990785110559,0.989424714445,0.995074170246,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.10101010,0.990198562487,0.988515201868,0.994749387984,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.11111111,0.989528085339,0.987405039755,0.993909231714,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.12121212,0.988686426604,0.98627519097,0.993067827807,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.13131313,0.987962423605,0.985213682145,0.992220712611,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.14141414,0.987172518715,0.984120423246,0.991373597414,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.15151515,0.98640217004,0.983061360278,0.990670291665,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.16161616,0.98561340551,0.981990191863,0.989839551593,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.17171717,0.9848089274,0.980920963975,0.988993543506,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.18181818,0.983993693426,0.979839905485,0.988142355379,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.19191919,0.983157329808,0.978759298397,0.987291167253,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.20202020,0.982309770757,0.977669244037,0.986434871082,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.21212121,0.98144732835,0.976578049183,0.985576959006,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.22222222,0.980569895241,0.975478931429,0.984707277666,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.23232323,0.979676183114,0.974378715033,0.983829684777,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.24242424,0.978773152593,0.973269795795,0.982951998256,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.25252525,0.977851212563,0.972161018826,0.982100134396,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
